Station,Latitude,Longitude
KGLD,39.37,-101.7
GRMM,46.68,-85.97
KCGX,41.87,-87.6
KMLS,46.43,-105.87
WEV,40.73,-122.94
LS1,48.06,-87.78
K48I,38.69,-80.65
BAX,43.78,-82.99
KMPV,44.2,-72.57
KLVS,35.65,-105.15
O,35.96,-84.29
KRDD,40.5,-122.3
B,29.3,-77.4
KBCE,37.7,-112.15
KRWL,41.8,-107.2
KSJT,31.37,-100.5
KCPW,37.45,-106.8
TPK,35.85,-121.31
KINL,48.57,-93.38
KSAF,35.62,-106.08
C01,37.2,-118.8
KAXN,45.87,-95.4
KPIT,40.5,-80.22
KCOD,44.52,-109.02
KK71,39.06,-98.17
WLM,39.15,-122.15
KLDM,43.58,-86.24
KINT,36.13,-80.22
JOES,45.35,-117.23
LW1,34.9,-98.1
KOFK,41.98,-97.43
CYQG,42.27,-82.97
KACV,40.98,-124.1
CHRL,53.63,-106.2
INV,28.84,-82.33
KCAE,33.95,-81.12
TVR,32.35,-91.03
KISP,40.8,-73.1
KHTS,38.37,-82.55
BRA,34.8,-84.05
KASE,39.22,-106.87
KECG,36.27,-76.18
KVCT,28.85,-96.92
TRAV,38.06,-121.77
KRAW,38.35,-93.34
KCHS,32.9,-80.03
P,40.18,-104.72
GYX,43.9,-70.25
KBUR,34.2,-118.35
B,43.53,-70.14
KMVL,44.53,-72.61
KFNL,40.45,-105.01
TMSR,39.99,-74.17
KAKQ,36.99,-77.00
ATL2,36.05,-74.25
KRUM,44.53,-70.53
WTBY,41.56,-73.05
KTQE,41.76,-96.18
P,41.9,-106.19
GVS,40.72,-85.93
KMCW,43.15,-93.33
KSME,37.05,-84.61
KLDN,45.25,-112.55
KLBO,37.64,-92.65
YQL,49.63,-112.8
MSPS,45.58,-87.00
KGXY,40.43,-104.63
KCRQ,33.13,-117.28
KPMD,34.63,-118.08
S,28.00,-89.00
KRKS,41.6,-109.07
TSW,44.17,-122.06
KINK,31.78,-103.2
KMOB,30.68,-88.25
KATL,33.65,-84.42
GVA,34.48,-120.23
KPOY,44.87,-108.79
SDN,37.13,-96.19
B,32.3,-75.2
KSDM,32.57,-116.98
MMCN,27.32,-112.3
IMT,45.82,-88.12
GMX1,29.2,-87.25
KRQB,43.43,-85.3
KJYR,40.9,-97.62
K40B,46.62,-69.53
B,32.4,-119.5
MMMY,25.78,-100.1
KUGN,42.42,-87.87
KBIL,45.8,-108.53
S,28.00,-85.00
YSV,37.74,-118.59
KLAF,40.41,-86.93
DYS,32.54,-99.25
C28,34.5,-82.5
KVPZ,41.45,-87.01
KMTH,24.73,-81.05
LSC,42.47,-82.76
KAIA,42.05,-102.8
KMFD,40.82,-82.52
BID,41.17,-71.58
KCCU,39.48,-106.15
D55,48.75,-98.39
KHIE,44.36,-71.55
E28,32.9,-106.4
KSHV,32.47,-93.82
KCAK,40.91,-81.43
K2D5,46.17,-98.07
SOU,42.48,-108.84
KCVG,39.05,-84.67
KMHX,34.78,-76.87
P,42.91,-101.69
KFSM,35.33,-94.37
BH2,44.79,-104.73
KAVL,35.43,-82.55
KORF,36.9,-76.19
KALW,46.1,-118.28
FSTK,30.9,-102.85
SAW,46.35,-87.4
PWN,46.77,-91.25
MUHA,22.98,-82.4
KPNE,40.08,-75.01
GNB,44.92,-80.42
MMTJ,32.55,-116.97
KTRK,39.32,-120.13
KSLC,40.78,-111.97
KCNI,34.31,-84.42
KDRT,29.37,-100.92
KFVX,37.35,-78.43
KDHT,36.02,-102.55
KSRQ,27.4,-82.55
KCPR,42.92,-106.47
CYZX,44.98,-64.92
KGEG,47.63,-117.53
KAVX,33.4,-118.42
KTTN,40.28,-74.82
P,37.52,-92.7
CYGQ,49.78,-86.93
CKV,42.08,-110.96
SJS,37.75,-82.64
KELM,42.17,-76.9
KHSR,43.37,-103.39
KRIF,38.74,-112.1
STDM,47.18,-87.22
G010,32.42,-110.73
KCDR,42.83,-103.1
KTNM,46.61,-88.91
G,24.4,-97.4
KLAR,41.32,-105.67
KEKO,40.83,-115.78
AWH,41.67,-115.78
KLSE,43.87,-91.25
CYZT,50.68,-127.37
KBPP,46.19,-103.43
KPWM,43.65,-70.32
KJFK,40.65,-73.78
HSP,37.95,-79.83
B,40.37,-73.7
KTT,40.82,-79.53
LIN,35.62,-87.84
KOAJ,34.82,-77.61
KPDT,45.68,-118.85
KEWK,38.06,-97.28
WIN,37.01,-91.36
KBPI,42.58,-110.11
KJAC,43.6,-110.73
KFAT,36.77,-119.72
PLA,47.76,-120.65
KSBY,38.33,-75.51
LAA,38.07,-102.68
KCKL,32.9,-87.25
KUKF,36.22,-81.1
KCNM,32.33,-104.27
OKL,39.13,-100.87
KISW,44.36,-89.84
HMN,33.08,-106.12
K1H2,39.07,-88.53
FWD,32.83,-97.3
KMEM,35.05,-90.00
CNLK,53.99,-105.12
KMIB,48.5,-101.4
PRC,34.53,-112.47
PSR,42.2,-107.2
ATL6,39.7,-71.6
KBDR,41.17,-73.12
G001,47.5,-121.1
MTG,43.76,-75.68
SLO,38.65,-88.97
K9K7,38.75,-98.23
MMCU,28.7,-105.97
OPP8,36.4,-125.4
CWLB,54.77,-112.02
K20V,40.05,-106.36
KIZA,34.61,-120.08
BAB,39.49,-121.61
KEVU,40.35,-94.92
NXD,37.58,-120.27
KJMS,46.93,-98.68
LSY,36.2,-119.1
KERY,46.31,-85.46
JDN,47.33,-106.93
HNR,41.59,-95.34
KPEO,42.64,-77.05
KRWF,44.55,-95.08
JACK,45.64,-70.26
K1A6,36.61,-83.74
KOLY,38.72,-88.18
KPDX,45.6,-122.6
6RO,30.33,-89.82
ROD,38.51,-122.96
KBDE,48.73,-94.62
RAWS,45.8,-97.45
KBYI,42.55,-113.77
KOMA,41.3,-95.9
CYQT,48.37,-89.32
KEEN,42.9,-72.27
KHAT,35.27,-75.55
CCR,39.99,-122.06
KGBD,38.34,-98.86
KBTR,30.53,-91.15
B48,24.7,-81.51
KLAL,27.99,-82.02
EVW,41.28,-111.03
KJMR,45.89,-93.27
KLOT,41.61,-88.1
KDAG,34.84,-116.78
KFPR,27.5,-80.37
KU96,37.44,-110.56
KPBF,34.18,-91.93
P,38.31,-97.3
KPIH,42.92,-112.6
KEMP,38.33,-96.19
KBGM,42.22,-75.98
KSSC,33.97,-80.47
KHSG,43.71,-108.39
KCEC,41.78,-124.23
KDRO,37.15,-107.75
B,27.9,-95.00
KMSO,46.92,-114.08
KGRI,40.97,-98.32
D07,45.02,-102.02
CSQ,41.02,-94.36
HYR,46.02,-91.45
C07,38.5,-101.5
KRBG,43.23,-123.35
P,34.11,-94.29
KSEP,32.22,-98.18
P,36.07,-99.22
AIH,42.6,-99.9
KMCN,32.7,-83.65
KFLG,35.13,-111.67
CYQD,53.97,-101.1
MUGM,19.9,-75.12
KMKG,43.17,-86.25
P,44.67,-95.45
LS2,47.56,-86.55
KLRU,32.28,-106.92
KMML,44.45,-95.82
KRNK,37.21,-80.41
HOO,30.72,-97.38
KHUT,38.07,-97.87
KESN,38.8,-76.07
KFAY,34.98,-78.87
KBVN,41.73,-98.01
EDW,34.92,-117.9
CYCG,49.3,-117.63
DSC,35.34,-116.88
PIE,39.17,-79.52
CVM,23.73,-99.13
MMMZ,23.17,-106.27
KRSV,39.02,-87.65
ATL4,38.6,-73.75
KIAD,38.95,-77.44
CYQM,46.12,-64.68
KPBG,44.65,-73.49
KBPT,29.95,-94.02
VPS,30.56,-85.92
KGSP,34.9,-82.22
KLCB,29.22,-114.28
KTIF,41.96,-100.57
MCR,32.07,-82.9
K4S3,45.36,-117.25
CYYJ,48.65,-123.43
B,46.2,-124.2
KSPW,43.17,-95.21
CYVO,48.05,-77.78
PMH,38.83,-82.8
KOGD,41.2,-112.02
KLBB,33.65,-101.82
KMTW,44.13,-87.68
COL2,45.72,-121.56
WAM,41.67,-107.98
BFL,35.24,-119.03
CYQQ,49.72,-124.9
KCLE,41.42,-81.87
MMCV,23.72,-98.97
K9K8,37.67,-98.12
KPYM,41.92,-70.73
KPOU,41.63,-73.87
KMDT,40.2,-76.76
C02,47.61,-103.26
KWYS,44.68,-111.12
CYZV,50.22,-66.27
GDV,47.13,-104.8
KFMM,40.34,-103.8
KAPA,39.57,-104.85
P,37.38,-95.63
KSEA,47.45,-122.3
KGPT,30.4,-89.07
4HV,38.37,-110.72
KUKL,38.3,-95.72
B015,42.75,-124.82
KTRX,40.08,-93.59
APX,44.9,-84.72
KMLU,32.52,-92.03
CAO,36.45,-103.15
G011,36.61,-97.49
KMFR,42.37,-122.87
KWRL,43.97,-107.95
KMSV,41.7,-74.8
KCSG,32.52,-84.93
KHNR,41.58,-95.34
KRNH,45.15,-92.54
KCID,41.88,-91.7
KBVO,36.76,-96.01
KBVI,40.77,-80.4
KMLB,28.1,-80.65
KGUP,35.52,-108.78
MUGT,20.08,-75.15
KDAL,32.84,-96.85
KGRK,31.07,-97.83
KENW,42.59,-87.94
KRPD,45.42,-91.77
KMGW,39.65,-79.92
S,25.00,-115.00
OSW,43.45,-76.51
GLRY,37.07,-121.12
KOLM,46.97,-122.9
WPT,46.91,-124.11
REO,42.59,-117.87
KCHA,35.03,-85.2
KHUF,39.45,-87.32
P,31.9,-92.78
KGGI,41.71,-92.73
CTY,29.62,-83.1
KOKC,35.4,-97.6
BLU,39.28,-120.7
BH1,45.27,-103.54
KSLK,44.38,-74.19
KHBG,31.27,-89.26
KBED,42.47,-71.28
KGRR,42.88,-85.52
KLGU,41.78,-111.85
CRL,42.04,-94.79
KBDL,41.93,-72.68
KUV1,40.48,-93.01
B,31.4,-80.87
UNIS,44.56,-102.66
KLUK,39.09,-84.42
KEWN,35.07,-77.05
C23,46.2,-97.5
B40,33.02,-114.24
KMCB,31.18,-90.47
SMB,41.39,-123.49
KMKE,42.95,-87.9
KIMM,26.42,-81.44
OPA9,32.8,-72.3
KLGB,33.82,-118.15
HGR,39.7,-77.73
CYHM,43.17,-79.93
KRFD,42.2,-89.1
KJBR,35.83,-90.65
KBOI,43.57,-116.22
KFXE,26.2,-80.17
KBRL,40.78,-91.13
KAYS,31.25,-82.4
KTMB,25.65,-80.43
FLP,36.2,-92.47
S,28.00,-87.00
C06,37.9,-95.2
KBQK,31.25,-81.47
BDS,33.62,-103.02
KPSP,33.83,-116.5
KAEL,43.68,-93.37
KPFN,30.22,-85.68
KGWO,33.5,-90.08
WSD,32.24,-106.22
MMHO,29.07,-110.97
EMP,27.95,-110.8
KONZ,42.1,-83.16
KIXA,36.33,-77.64
CYXZ,47.97,-84.78
KPSF,42.47,-73.29
KPHF,37.13,-76.5
ELZB,37.7,-85.87
IVNH,44.46,-96.25
KBUF,42.93,-78.73
ESTC,47.46,-69.22
KRAP,44.06,-103.05
KMDH,37.78,-89.25
KFOA,38.66,-88.45
KSCH,42.85,-73.93
KAXA,43.08,-94.27
SJN,34.51,-109.38
KMLI,41.45,-90.52
KLAS,36.08,-115.17
TTP,43.5,-110.96
KSBP,35.23,-120.63
KP60,44.54,-110.42
OPA8,33.8,-76.00
KGON,41.33,-72.05
KMYR,33.68,-78.93
MUCU,19.96,-75.85
C32,37.35,-99.35
CYKF,43.47,-80.38
KOVO,39.05,-85.61
P,33.02,-100.98
CYOW,45.32,-75.67
FRI,36.72,-80.97
K5J0,44.4,-118.96
CYYC,51.12,-114.02
KISN,48.18,-103.63
OPA4,37.3,-70.1
KCIU,46.25,-84.47
BBD,31.18,-99.32
KCOS,38.82,-104.72
CWSE,53.55,-114.1
KCMH,40.00,-82.88
MMRX,26.02,-98.23
KU68,44.91,-108.45
KFMH,41.65,-70.52
KHSV,34.65,-86.77
KTCC,35.18,-103.6
KPOE,31.05,-93.2
K5SM,39.43,-107.38
P,39.66,-90.48
C10,34.2,-101.7
S,34.00,-126.00
LHS,35.62,-119.69
CQV,48.55,-117.88
RTN,36.74,-104.65
SON,37.99,-120.38
MIE,40.25,-85.4
EVR,25.86,-81.38
KDSM,41.53,-93.65
KEGE,39.65,-106.92
KMQT,46.53,-87.55
KCON,43.2,-71.5
4BQ,45.45,-105.4
KCFV,37.09,-95.57
RPL2,37.54,-76.01
KLG,47.54,-116.14
KRDU,35.87,-78.78
KREV,39.57,-119.79
OPP9,33.3,-125.00
KJAX,30.5,-81.69
KP11,48.1,-98.87
B,28.9,-78.5
NW8,44.6,-127.5
PESC,37.1,-122.28
KHCR,40.48,-111.43
KERI,42.08,-80.18
CYFO,54.68,-101.68
KRIL,39.53,-107.73
KENV,40.73,-114.03
B,32.5,-79.07
KUNI,39.21,-82.23
K46U,43.18,-111.04
S,29.5,-123.00
KMKX,42.97,-88.55
KRSW,26.53,-81.75
OPP6,41.9,-125.8
KILG,39.68,-75.6
MMCS,31.63,-106.43
KMWK,36.46,-80.55
KSDY,47.7,-104.2
KDEW,47.97,-117.43
KDET,42.42,-83.02
RSL,34.4,-87.6
KRKD,44.07,-69.1
KLBE,40.28,-79.4
KPAE,47.9,-122.28
B,25.9,-89.7
MQTM,46.54,-87.39
KEPH,47.3,-119.52
P53,46.42,-86.65
KC09,41.42,-88.41
CFC,39.08,-120.94
TBM,36.65,-118.48
CYYB,46.37,-79.42
KLVL,36.77,-77.79
KHOB,32.68,-103.22
KBKW,37.78,-81.12
C03,37.8,-97.01
KSFF,47.68,-117.32
OPP5,41.75,-129.9
KJXN,42.27,-84.47
CYYZ,43.67,-79.63
STA,40.72,-122.43
GRUN,37.27,-82.1
KIFA,42.47,-93.27
SHS,38.49,-121.22
CWQG,46.9,-71.5
KCLM,48.12,-123.5
KSSI,31.15,-81.37
S,28.2,-93.7
KLOZ,37.08,-84.08
KTCS,33.23,-107.27
KCFS,43.46,-83.45
KEET,33.17,-86.77
KIDI,40.63,-79.11
OPP7,39.2,-125.5
KRNO,39.5,-119.78
KESF,31.4,-92.3
C09,36.00,-105.3
KGKL,41.63,-80.21
OUN,35.23,-97.47
PAXT,40.46,-88.1
MMNL,27.43,-99.57
BNY,40.88,-121.66
KBKE,44.83,-117.82
U28,39.00,-110.17
KOPF,25.9,-80.28
KP58,44.02,-82.79
ILX,40.15,-89.33
KHYS,38.85,-99.27
KLWD,40.63,-93.9
KESC,45.73,-87.08
KTXK,33.45,-93.98
KABE,40.65,-75.43
GDP,31.83,-104.8
KMBL,44.28,-86.25
KMRY,36.58,-121.85
KOGA,41.12,-101.77
S,25.00,-120.00
CYXU,43.03,-81.15
AFA,48.00,-65.00
C36,36.6,-101.6
KROC,43.12,-77.67
KBGR,44.8,-68.83
CTW,38.37,-96.54
LLQ,33.64,-91.75
MYGF,26.55,-78.69
CYQA,44.97,-79.3
KANB,33.58,-85.85
KCHH,41.67,-69.97
S,29.3,-84.04
BMX,33.17,-86.77
KAPN,45.07,-83.57
KSGU,37.04,-113.5
KLXN,40.79,-99.78
KGEY,44.52,-108.08
KISM,28.29,-81.44
PTBA,37.82,-122.47
KHCO,48.75,-96.94
G,30.5,-99.1
KHIB,47.38,-92.83
KSHR,44.77,-106.97
KOWB,37.75,-87.16
KRMG,34.35,-85.16
UVA,29.21,-99.74
NWA,40.5,-126.98
KSUN,43.5,-114.3
KSCK,37.9,-121.25
MUVR,23.13,-81.28
MUCL,21.62,-81.55
FFC,33.36,-84.57
KMSY,29.98,-90.25
RLAS,43.26,-98.76
KEPO,44.92,-67.00
KCRE,33.82,-78.72
KGXA,34.57,-117.67
LAP,24.17,-110.42
KHBR,34.98,-99.05
KP28,37.27,-98.55
KBTV,44.47,-73.15
LIC,39.26,-103.7
CYTL,53.83,-89.87
KSJC,37.37,-121.93
KJKL,37.59,-83.32
KLGA,40.77,-73.9
KAHN,33.95,-83.32
KPHL,39.88,-75.25
KWRI,40.02,-74.6
KGYY,41.62,-87.42
KPUB,38.28,-104.52
KGUY,36.68,-101.5
KELN,47.03,-120.53
KLBX,29.12,-95.47
KCMI,40.03,-88.28
KMCI,39.32,-94.72
KMTJ,38.5,-107.9
RME,43.47,-75.46
B,40.7,-72.1
NHK,38.28,-76.4
KROW,33.3,-104.53
FTMS,44.41,-103.48
KIDA,43.52,-112.07
MUNG,21.83,-82.78
BVE,29.33,-89.4
B,41.1,-66.6
KSNA,33.68,-117.87
KSYM,38.22,-83.59
KSUS,38.66,-90.65
KFVE,47.28,-68.32
W54,39.61,-77.01
KLIT,34.73,-92.23
G,27.7,-102.5
CYMO,51.28,-80.6
KAUG,44.32,-69.8
KAJZ,38.79,-108.06
KTEX,37.95,-107.9
KPRB,35.66,-120.63
KDEH,43.28,-91.74
CYXX,49.03,-122.37
KDLS,45.62,-121.17
STC,45.55,-94.07
C18,47.00,-112.5
FCS,38.7,-104.77
KARR,41.77,-88.48
MUBA,20.35,-74.5
KDBQ,42.4,-90.7
CAN,42.05,-73.2
9B6,42.6,-68.6
KNVD,37.85,-94.31
KLCK,39.82,-82.93
TOW,41.77,-76.45
NW7,48.5,-129.5
AGR,27.65,-81.33
P,35.08,-103.61
G004,44.00,-115.00
KGNR,45.47,-69.58
KTOL,41.6,-83.8
KLWV,38.76,-87.61
MHS,41.32,-122.32
KBFF,41.87,-103.6
KLNK,40.84,-96.75
KTTD,45.55,-122.4
KADG,41.87,-84.07
CYQK,49.78,-94.37
KDAF,44.03,-90.08
KMCO,28.43,-81.32
KLCG,42.24,-96.98
KKL,40.2,-92.6
KHFD,41.73,-72.65
KDTL,46.83,-95.89
KOSC,44.45,-83.4
KEST,43.4,-94.75
KSPS,33.98,-98.5
KLEW,44.05,-70.28
KHOT,34.48,-93.1
P,40.1,-97.34
KBRO,25.9,-97.43
KMPO,41.14,-75.38
KGJT,39.12,-108.53
KALS,37.45,-105.87
OSCR,33.5,-106.18
KYUM,32.65,-114.6
KORH,42.27,-71.87
C7H,38.5,-70.7
KPIR,44.38,-100.28
KPKB,39.34,-81.43
MMCL,24.82,-107.4
KCNY,38.76,-109.75
G,26.3,-98.8
CYMX,45.68,-74.03
MMDO,24.13,-104.53
KATY,44.92,-97.15
K3LF,39.16,-89.67
CYWA,45.95,-77.32
CYEG,53.3,-113.58
CWOS,43.72,-65.25
KCAD,44.28,-85.42
KGZH,31.42,-87.05
JWG,35.87,-98.42
KABQ,35.05,-106.62
KVYS,41.35,-89.15
G,23.3,-95.6
KTLH,30.38,-84.37
KIJX,39.77,-90.24
KFLO,34.18,-79.72
KBLI,48.8,-122.53
KWWD,39.01,-74.91
MMSD,23.15,-109.7
P,39.58,-94.19
KDDC,37.77,-99.97
KTYS,35.82,-83.98
KSPI,39.84,-89.67
IGM,35.27,-113.95
KAUS,30.3,-97.7
KSFO,37.62,-122.38
C11,33.6,-99.3
KTIW,47.27,-122.58
KAFO,42.71,-110.94
SLB,42.6,-95.23
